Channel Number,Receive Frequency,Transmit Frequency,Offset Frequency,Offset Direction,Operating Mode,AMS,Name,Tone Mode,CTCSS,DCS,DCS Polarity,RX DGID,TX DGID,User CTCSS,Tx Power,Skip,Step,Attenuator,S-Meter Squelch,Bell,Half Dev,Clock Shift,SimpHome,RptHome,RptMoab,RptTellur,RptRubi,SimpRubi,NOAA,BANK 8,BANK 9,BANK10,BANK11,BANK12,BANK13,BANK14,BANK15,BANK16,BANK17,BANK18,BANK19,BANK20,BANK21,BANK22,BANK23,BANK24,Comment,
1,146.42000,146.42000, ,Simplex,FM,On,HAM 42,None,100.0 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,
2,146.46000,146.46000, ,Simplex,FM,On,HAM 46,None,100.0 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,
3,146.52000,146.52000, ,Simplex,FM,On,HAM 52,None,100.0 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,
4,146.53000,146.53000, ,Simplex,FM,On,HAM 53,None,100.0 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,
5,146.55000,146.55000, ,Simplex,FM,On,HAM 55,None,100.0 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,
6,146.72500,146.72500, ,Simplex,FM,On,HAM 725,None,100.0 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,
7,146.48500,146.48500, ,Simplex,FM,On,HAM 485,None,100.0 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,
8,446.03000,446.03000, ,Simplex,FM,On,HAM U3,None,100.0 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,,
9,444.80000,449.80000,5.00 MHz,Plus,FM,On,W3QV,None,88.5 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Roxborough",
10,145.13000,144.53000,600 kHz,Minus,FM,On,WB3JOE,Tone,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Paoli",
11,145.19000,144.59000,600 kHz,Minus,FM,On,N3ZA,T Sql,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Souderton",
12,145.25000,144.65000,600 kHz,Minus,FM,On,N3SLC,Tone,114.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Jennersville  Penn Township - at PA Routes 1 &amp; 796 ",
13,145.31000,144.71000,600 kHz,Minus,FM,On,W3AI,Tone,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Perkasie",
14,145.33000,144.73000,600 kHz,Minus,FM,On,W3HJ,Tone,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Hilltown",
15,145.35000,144.75000,600 kHz,Minus,FM,On,WA3EPA,Tone,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Doylestown",
16,145.37000,144.77000,600 kHz,Minus,FM,On,NJ2CH,T Sql,91.5 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Cherry Hill",
17,145.41000,144.81000,600 kHz,Minus,FM,On,KD3WT,Tone,127.3 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Philadelphia",
18,146.62500,146.02500,600 kHz,Minus,FM,On,N2KEJ,T Sql,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Woodstown Salem County EOC",
19,146.68500,146.08500,600 kHz,Minus,FM,On,WM3PEN,T Sql,146.2 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Philadelphia University of Pennsylvania",
20,146.71500,146.11500,600 kHz,Minus,FM,On,WA3UTI,Tone,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Meadowbrook",
21,146.73000,146.13000,600 kHz,Minus,FM,On,W3DRA,T Sql,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Wilmington",
22,146.76000,146.16000,600 kHz,Minus,FM,On,W3PHL,Tone,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Valley Forge Schuylkill Township",
23,146.79000,146.19000,600 kHz,Minus,FM,On,W3SK,Tone,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Southampton",
24,146.79000,146.19000,-600 kHz,Plus,FM,On,N3TS,Tone,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Richboro",
25,146.83500,146.23500,600 kHz,Minus,FM,On,AA3E,Tone,88.5 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Eagleville",
26,146.86500,146.26500,600 kHz,Minus,FM,On,K2UK,Tone,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Pine Hill",
27,146.88000,146.28000,600 kHz,Minus,FM,On,W3PHL,Tone,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Hilltown Township",
28,146.89500,146.29500,600 kHz,Minus,FM,On,K2EOC,T Sql,91.5 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Voorhees",
29,146.92500,146.32500,600 kHz,Minus,FM,On,WB2YGO,T Sql,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Willingboro",
30,146.94000,146.34000,600 kHz,Minus,FM,On,W3KG,T Sql,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Media Fair Acres Geriatric Center",
31,146.94000,146.34000,600 kHz,Minus,FM,On,W3PHL,Tone,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"West Chester",
32,146.94000,146.34000,600 kHz,Minus,FM,On,W3AEC,Tone,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Media",
33,146.95500,146.35500,600 kHz,Minus,FM,On,WA3UYJ,T Sql,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Wilmington",
34,146.97000,146.37000,600 kHz,Minus,FM,On,W3PHL,Tone,131.8 Hz,023,RN-TN,00,00,1600 Hz,High (5 W),Off,Auto,Off,Off,Off,Off,Off,Off,On,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,Off,"Feasterville-Trevose Lower Southampton Township",
